bag_timestamp,gps_timestamp_sec,gps_timestamp_nanosec,latitude,longitude,altitude
1.79E+18,1787901812,457930368,12.6508737,80.1398862,15.67621177
1.79E+18,1787901812,707939584,12.6508738,80.1398865,15.68621091
1.79E+18,1787901812,957948800,12.6508739,80.1398868,15.69621006
1.79E+18,1787901813,207959296,12.6508739,80.1398871,15.69620902
1.79E+18,1787901813,457967488,12.6508738,80.1398872,15.66620849
1.79E+18,1787901813,707960064,12.6508738,80.1398873,15.66620815
1.79E+18,1787901813,957966720,12.6508738,80.1398874,15.6862078
1.79E+18,1787901814,207974656,12.6508737,80.1398876,15.70620693
1.79E+18,1787901814,457984640,12.6508736,80.1398877,15.6962064
1.79E+18,1787901814,707991808,12.6508736,80.1398878,15.67620606
1.79E+18,1787901814,957994112,12.6508736,80.1398878,15.63620606
1.79E+18,1787901815,208000512,12.6508735,80.1398878,15.60620588
1.79E+18,1787901815,458009216,12.6508735,80.1398877,15.57620623
1.79E+18,1787901815,708012288,12.6508734,80.1398878,15.5762057
1.79E+18,1787901815,958018944,12.6508733,80.1398877,15.58620587
1.79E+18,1787901816,208024576,12.6508733,80.1398876,15.60620621
1.79E+18,1787901816,458033536,12.6508732,80.1398877,15.63620569
1.79E+18,1787901816,708047616,12.6508732,80.1398883,15.66620361
1.79E+18,1787901816,958053760,12.6508732,80.1398897,15.67619877
1.79E+18,1787901817,208061440,12.6508732,80.1398916,15.68619219
1.79E+18,1787901817,458070144,12.6508732,80.1398938,15.69618458
1.79E+18,1787901817,708075520,12.6508732,80.1398958,15.67617766
1.79E+18,1787901817,958082944,12.6508734,80.1398976,15.65617179
1.79E+18,1787901818,208093440,12.6508736,80.1398992,15.64616662
1.79E+18,1787901818,458102144,12.6508739,80.1399007,15.62616196
1.79E+18,1787901818,708114432,12.6508741,80.1399016,15.61615921
1.79E+18,1787901818,958120832,12.6508744,80.1399023,15.63615732
1.79E+18,1787901819,208127744,12.6508746,80.1399026,15.64615664
1.79E+18,1787901819,458134912,12.6508749,80.1399029,15.66615614
1.79E+18,1787901819,708143616,12.6508758,80.1399032,15.66615672
1.79E+18,1787901819,958151040,12.6508781,80.1399033,15.63616049
1.79E+18,1787901820,208157696,12.6508821,80.1399033,15.63616766
1.79E+18,1787901820,458167168,12.6508874,80.1399032,15.6561775
1.79E+18,1787901820,708177152,12.650894,80.139903,15.67619002
1.79E+18,1787901820,958185600,12.6509018,80.1399026,15.69620537
1.79E+18,1787901821,208196352,12.6509107,80.1399021,15.67622305
1.79E+18,1787901821,458204800,12.6509206,80.1399015,15.64624286
1.79E+18,1787901821,708214784,12.6509314,80.1399009,15.62626428
1.79E+18,1787901821,958227328,12.6509429,80.1399003,15.62628696
1.79E+18,1787901822,208231680,12.6509551,80.1398997,15.62631089
1.79E+18,1787901822,458236032,12.6509679,80.1398992,15.63633554
1.79E+18,1787901822,708241152,12.6509813,80.1398988,15.63636093
1.79E+18,1787901822,958249856,12.650995,80.1398983,15.6563872
1.79E+18,1787901823,208259328,12.6510092,80.1398976,15.67641505
1.79E+18,1787901823,458270080,12.6510237,80.139897,15.6964431
1.79E+18,1787901823,708276992,12.6510385,80.1398962,15.70647237
1.79E+18,1787901823,958283392,12.6510536,80.1398953,15.70650253
1.79E+18,1787901824,208293632,12.651069,80.1398942,15.71653391
1.79E+18,1787901824,458303104,12.6510847,80.1398931,15.70656583
1.79E+18,1787901824,708314368,12.6511006,80.1398919,15.69659845
1.79E+18,1787901824,958322816,12.6511166,80.1398908,15.68663091
1.79E+18,1787901825,208329472,12.6511327,80.1398897,15.67666354
1.79E+18,1787901825,458341504,12.651149,80.1398886,15.66669653
1.79E+18,1787901825,708355584,12.6511655,80.1398873,15.69673057
1.79E+18,1787901825,958364800,12.651182,80.1398859,15.71676496
1.79E+18,1787901826,208372480,12.6511987,80.1398845,15.7467997
1.79E+18,1787901826,458381440,12.6512155,80.139883,15.75683496
1.79E+18,1787901826,708389632,12.6512325,80.1398814,15.74687093
1.79E+18,1787901826,958396800,12.6512496,80.1398799,15.72690673
1.79E+18,1787901827,208403712,12.6512667,80.1398784,15.68694252
1.79E+18,1787901827,458412672,12.6512839,80.139877,15.66697815
1.79E+18,1787901827,708418560,12.6513012,80.1398756,15.64701396
1.79E+18,1787901827,958428032,12.6513185,80.1398743,15.62704942
1.79E+18,1787901828,208433408,12.6513359,80.139873,15.62708506
1.79E+18,1787901828,458443904,12.6513532,80.1398718,15.60712017
1.79E+18,1787901828,708452352,12.6513706,80.1398705,15.58715581
1.79E+18,1787901828,958461568,12.651388,80.1398694,15.56719075
1.79E+18,1787901829,208466176,12.6514055,80.1398682,15.54722622
1.79E+18,1787901829,458478208,12.651423,80.1398671,15.56726134
1.79E+18,1787901829,708485120,12.6514407,80.1398659,15.60729716
1.79E+18,1787901829,958491264,12.6514583,80.1398648,15.61733245
1.79E+18,1787901830,208495872,12.651476,80.1398637,15.62736793
1.79E+18,1787901830,458506368,12.6514938,80.1398626,15.64740358
1.79E+18,1787901830,708517376,12.6515116,80.1398615,15.67743923
1.79E+18,1787901830,958523520,12.6515295,80.1398604,15.64747505
1.79E+18,1787901831,208534784,12.6515473,80.1398593,15.6475107
1.79E+18,1787901831,458543232,12.6515651,80.1398583,15.647546
1.79E+18,1787901831,708551936,12.6515827,80.1398572,15.64758129
1.79E+18,1787901831,958557056,12.6516004,80.139856,15.6376171
1.79E+18,1787901832,208564224,12.6516181,80.1398547,15.61765325
1.79E+18,1787901832,458574720,12.6516358,80.1398533,15.60768975
1.79E+18,1787901832,708581632,12.6516535,80.1398518,15.56772659
1.79E+18,1787901832,958592128,12.6516712,80.1398504,15.52776309
1.79E+18,1787901833,208599552,12.6516888,80.1398489,15.52779975
1.79E+18,1787901833,458606976,12.6517064,80.1398473,15.49783675
1.79E+18,1787901833,708612352,12.6517241,80.1398458,15.44787359
1.79E+18,1787901833,958618496,12.6517418,80.1398443,15.40791043
1.79E+18,1787901834,208624128,12.6517597,80.1398429,15.38794727
1.79E+18,1787901834,458634112,12.6517776,80.1398415,15.35798412
1.79E+18,1787901834,708641536,12.6517955,80.1398403,15.36802027
1.79E+18,1787901834,958655360,12.6518135,80.1398392,15.39805626
1.79E+18,1787901835,208664064,12.6518316,80.1398382,15.39809207
1.79E+18,1787901835,458672000,12.6518497,80.1398373,15.43812754
1.79E+18,1787901835,708687360,12.6518676,80.1398363,15.468163
